id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44743874,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-08-27 01:23:12,kusumadewi,Hero Member,826,517,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,Already 83% of the team passed verification on ICOHOLDER (this is very-very good)   https://icoholder.com/ru/laccoin-23402  . This is a fairly large percentage compared with other ICOs. PRE-ICO will start 01.09 on KICKICO.,False
2,msg44854975,https://bitcointalk.org/index.php?topic=4455448.0,msg44743874,1903,Announcements (Altcoins),2018-08-29 03:26:07,Varyg,Hero Member,798,500,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,   Openness of team is a very important factor. I hope LACCOIN will become the second Humaniq for countries LAC. But the main thing is aggressive marketing policy and fast application development.,False
3,msg44912666,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-08-30 10:25:12,Tatyana lushchik,Newbie,42,0,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,"LACCOIN (LAC) is an Ethereum backed cryptocurrency that enables the banked, unbanked and underbanked individuals who are in Latin America and Caribbean region to send money, invest and send micro-loans to each other with their mobile wallet or web app. Combined with their LAC debit card and access to the LAC Index Fund individuals can spend their LAC tokens, invest or use their P2P loans that connect with their LAC wallets where every VISA or MasterCard is accepted.",False
4,msg44912999,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-08-30 10:31:46,brokens,Sr. Member,728,251,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,I believe this project will succeed in the future because I see the team working behind it is very enthusiastic about developing Laccoin. how much funds have been collected now and what are the next plans?,False
5,msg44951027,https://bitcointalk.org/index.php?topic=4455448.0,msg44912999,1903,Announcements (Altcoins),2018-08-31 01:17:27,kusumadewi,Hero Member,826,517,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,   PRE-ICO will be start 1 September on KICKICO.. Therefore 0 ETH raised now . You must wait start of PRE-ICO. I hope it will be collected more 450 ETH on PRE-ICO,False
6,msg45032871,https://bitcointalk.org/index.php?topic=4455448.0,msg44951027,1903,Announcements (Altcoins),2018-09-01 15:42:25,termion,Hero Member,910,533,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,    PRE-ICO will begin 5 September. The LACCOIN team took extra time to resolve various legal formalities with the KICKICO team. Extra 3 days.,False
7,msg45099169,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-09-02 19:23:12,tarolog,Sr. Member,630,250,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,"I agree that the choice of exchanges is extremely important. I also believe that before listing should be banner advertising, advertising on coinmarketcap and other advertising. LACCOIN - very important project for LAC.",False
8,msg45209272,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-09-05 03:14:59,imageanodising,Newbie,8,0,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,"I think LACCOIN (LAC) is a cryptocurrency be Ethereum support, allowing individual banks, not bound and besieged in Latin America and the Caribbean depositors, investors and sent the loan of tissues to each other by electronic wallet or their web applications. The vision of the project is to create a viable ecosystem for currency trading would be a viable alternative to the existing banking system. A product so interesting and attractive participants.",False
9,msg45217863,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-09-05 08:14:36,prinkingle,Newbie,41,0,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,"the only mistake was waiting so long to announce this promising plan but the team are doing constant progress and updates regulary, i'm sure the price will increase soon, hodl",False
10,msg45244715,https://bitcointalk.org/index.php?topic=4455448.0,,1903,Announcements (Altcoins),2018-09-05 18:16:32,termion,Hero Member,910,533,,[ANN][Preico] Laccoin | Alternative to Banking Industry | Index Fund,"PRE-ICO now already started on KICKICO - https://www.kickico.com/ru/campaigns/65988/laccoin . If you like idea KICKICO, you can invest.",False
